id,objectType,name,definition,component,domain,versionStatus,sourceVersion,sourceAuthority,sourceUrl,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"","Derived indicator","Condoms","Coverage contribution of OCP to overall family planningmethod -","Family planning","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","eligible couples","Coverage contribution of OCP to overall family planningmethod -. Denominator population: eligible couples."
"","Derived indicator","Proportion of Limitingmethods","Coverage contribution of sterilization(all) to overall family planningmethod","Family planning","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","All FP Users","Coverage contribution of sterilization(all) to overall family planningmethod. Denominator population: All FP Users."
"","Derived indicator","Proportion of Spacingmethods","Coverage contribution of spacing (all) to overall family planningmethod","Family planning","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","eligible couples","Coverage contribution of spacing (all) to overall family planningmethod. Denominator population: eligible couples."
"","Derived indicator","% newborns breastfed < 1 hour","Percentage of new born babies breastfed within one hour of birth","Newborn and pregnancy outcomes","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total live births (as recorded)","Percentage of new born babies breastfed within one hour of birth. Denominator population: Total live births (as recorded)."
"","Derived indicator","Sex ratio at birth","Number of females born per 1000 males born in a give time period","Other HMIS reporting","Health services and systems","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Ratio","per 1,000","(Numerator ÷ denominator) × 1000","Live Births males","Number of females born per 1000 males born in a give time period. Denominator population: Live Births males."
"","Derived indicator","Low birth weight rate","Percentage of live born infants with a Birth weight under 2,500 grams","Newborn and pregnancy outcomes","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Percentage/proportion","%","(numerator ÷ denominator) × 100","Live births weighed","Percentage of live born infants with a Birth weight under 2,500 grams. Denominator population: Live births weighed."
"","Derived indicator","Neonatal mortality rate","Neonatal mortality rate (NNMR) measures the number of live-born babies dying within 28 completed days of life per 1,000 live births.","Newborn and pregnancy outcomes","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Live births","Neonatal mortality rate (NNMR) measures the number of live-born babies dying within 28 completed days of life per 1,000 live births. Denominator population: Live births."
"","Derived indicator","Infant Death rate(IDR)","Infant Death rate (IDR) measures the number of deaths of infants under one year of age per 1,000 live births","Newborn and pregnancy outcomes","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","live births","Infant Death rate (IDR) measures the number of deaths of infants under one year of age per 1,000 live births. Denominator population: live births."
"","Derived indicator","Under 5 Mortality Rate","Under-five mortality rate measures the number of children who die before their fifth birthday per 1000 live births","Newborn and pregnancy outcomes","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","live births","Under-five mortality rate measures the number of children who die before their fifth birthday per 1000 live births. Denominator population: live births."
"","Derived indicator","Peri Natal Mortality Rate (PNMR)","Peri-natal deaths comprise still births (gestation over 228 weeks / >1000 grams weight) plus early neonatal deaths (infants dying within 7 days).","Antenatal care and high-risk pregnancy","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Live Births.","Peri-natal deaths comprise still births (gestation over 228 weeks / >1000 grams weight) plus early neonatal deaths (infants dying within 7 days). Denominator population: Live Births.."
"","Derived indicator","Still birth rate","","Newborn and pregnancy outcomes","Maternal, newborn and reproductive health","Historical technical definition","NHSRC HMIS programme-manager training manual, public PDF hosted 2021","National Health Systems Resource Centre","https://nhsrcindia.org/training-and-tools","","Not specified","Numerator ÷ denominator; multiplier not stated","Total births (Live birth + Still birth)","Still birth rate. Denominator population: Total births (Live birth + Still birth)."
