indicator,definition,numerator,denominator,multiplying_factor,suggested_level,periodicity,source_page,source_table,source_version
ANC severely anaemic treated rate,Percentage of severely anaemic pregnant women treated ( Hb level <7g),Severely anaemic pregnant women treated (Hb<7g),Total ANC registration,100,"State, District, & Block","Quarterly, annual",45,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Eclampsia managemen t rate,% of eclampsia cases managed during delivery,Number of eclampsia cases managed during delivery,Total deliveries (home + institution),100,"State, District, & Block","Quarterly, annual",46,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
JSY registration rate,% of pregnant women who were registered under JSY scheme.,Total JSY registration,Total ANC registered,100,"State, district/ block","Annual, semiannu al",47,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
% Institutional Delivery Receiving JSY Benefit,Proportion of women who had institutional delivery received JSY benefit,Institutional Delivery women received JSY benefits,No. of pregnant women registered for JSY,100,"State, district/ block","Annual, semiannu al",47,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
IPD as percentage of OPD,Proportion of IPD out of total OPD.,Total IPD,Total OPD,100,State and District,"Quarterly, annual",48,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Operation major (General and spinal anaesthesia) as %of OPD,Percentage of major operations conducted against total OPD attendance,Operation major (General and spinal anaesthesia),Total OPD,100,"State, District and Block","Annual, semiannua l",48,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Operation minor (No or local anaesthesia)a s % of OPD,Percentage of minor operations conducted against total OPD attendance,Operation minor (No or local anaesthesia),Total OPD,100,"State, District and Block","Annual, semiannual",49,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Dental utilization ratio,Dental Procedures as % of OPD,Dental Procedures,Total OPD,100,"State, District and Block","Annual, semiannual",49,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Bed occupancy rate,Percentage of bed occupancy against total beds available in a facility in a given time period,Sum of inpatient head count at midnight,Total Bed days available (total number of days for which indicator is calculated x total number of beds),100,Facility,"Annual, semiannual",49,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
HIV positive as % of HIV tested,Proportion of HIV +ve cases(all)out of total tested for HIV.,Total number of patients who were found HIV+ve after test,Total HIV test conducted,100,"State, District and Block","Quarterly, annual",50,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Proportion of antenatal women tested for HIV,Proportion of pregnant women who were tested for HIV .,ANC tested for HIV,Total ANC Registration,100,"State, District and Block","Quarterly, annual",50,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
HIV prevalence among antenatal (ANC) tested,Proportion of ANC who were found to be HIV +ve after test,Antenatal women tested and found HIV positive,Antenatal women tested for HIV,100,"State, District and Block","Quarterly, annual",50,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
HIV prevalence among non ANC tested (excluding ANC women),Proportion of non- ANC who were found to be HIV +ve after test,HIV test positive (excluding antenatal),HIV tested (excluding antenatal),100,"State, District and Block","Quarterly, annual",50,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
HIV prevalence among males tested,Proportion of HIV+ cases among total number of males tested,HIV test positive (males),No. of males tested for HIV,100,"State, District and Block","Quarterly, annual",50,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Annual parasite incidence,Confirmed cases during 1 year/populatio n under surveillance) x 1000.,Total no. of blood smears +ve for Malarial Parasite in a year,Total population,1000,"State, District and Block",Annual,51,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Annual Blood Examination rate (ABER),Number of slides examined,No. of blood smears examined for Malarial Parasite in a year,Total population,100,"State, District and Block",Annual,51,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
Diarrhoea incidence under 5 years (per 1 000),The number of children under 5 years with diarrhoea per 1 000 population under 5 years per year.,The number of children with diarrhea under 5years,Total children under 5 years,1000,State & District,Annual,52,1,"NHSRC HMIS programme-manager training manual, public PDF hosted 2021"
