ogd_code,published_label,object_class,exact_label_present_in_april_2025_forms,source_period,source_resource,currentness
97,% Post Partum Sterlisations to Total Female Sterilisations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
98,% Post Abortion Sterlisations to Total Female Sterilisations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
99,% Laparoscopic sterlisations at Public Institutions to Total Laparoscopic Sterilisations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
100,% Mini Lap sterlisations at Public Institutions to Total Mini Lap Sterilisations,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
101,% Post Partum sterlisations at Public Institutions to Total Post Partum Sterilisation,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
102,% Post Abortion sterlisations at Public Institutions to Total Post Partum Sterilisation,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
103,Total cases of deaths following Sterlisation ( Male + Female),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
104,Total cases of deaths following Male Sterlisation,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
105,Total cases of deaths following Female Sterlisation,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
106,Total cases of failure following Male Sterlisation,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
107,Total cases of failure following Female Sterlisation,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
108,Total cases of complication following Male Sterlisation,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
109,Total cases of complication following Female Sterlisation,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
110,IUCD Insertions done (public facilities),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
111,IUCD insertions done (pvt. facilities),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
112,% PP IUCD Insertions (public) to Total IUCD Insertions (public),Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
113,% PP IUCD Insertions (public) to Total Institutional Deliveries (public),Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
114,% IUCD insertions to all family planning methods ( IUCD plus permanent),Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
115,Total Interval IUCD Insertions done,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
116,Total PP IUCD Insertions done,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
117,Total PAIUCD insertions done,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
118,Combined Oral Pills distributed,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
119,Emergency pills distributed,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
120,Condom pieces distributed,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
121,Centchroman ( weekly pills) distributed,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
122,Number of beneficiaries given 1st dose of Injectable (Antara Program),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
123,Number of beneficiaries given 2nd dose of Injectable (Antara Program),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
124,Number of beneficiaries given 3rd dose of Injectable (Antara Program),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
125,Number of beneficiaries given 4th or more than 4 doses of Injectable (Antara Program),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
126,Pregnancy testing kits used,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
127,Number of Infants given OPV 0 (Birth Dose),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
128,Number of Infants given BCG,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
129,Number of Infants given Hep- B0 (birth dose),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
130,% Newborns given OPV0 at birth to Reported live birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
131,% Newborns given BCG to Reported live birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
132,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
133,Number of Infants given DPT1,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
134,Number of Infants given DPT2,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
135,Number of Infants given DPT3,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
136,Number of Infants given Pentavalent 1,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
137,Number of Infants given Pentavalent 2,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
138,Number of Infants given Pentavalent 3,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
139,Number of Infants given Measles,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
140,Number of Infants given MR,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
141,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
142,Number of fully immunized children (9-11 months),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
143,% Drop Out between BCG & Measles/ MR,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
144,% Children given Vit A dose1 to Reported live birth,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
145,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
146,Adverse Events Following Imunisation (Abcess ),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
147,Adverse Events Following Imunisation (Deaths),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
148,Adverse Events Following Imunisation (Others),Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
149,% immunisation Sessions Held to Immunisation Sessions Planned,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
150,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
151,Pneumonia in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
152,Asthma in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
153,Sepsis in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
154,Diphtheria in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
155,Pertussis in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
156,Tetanus Neonatorum in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
157,Tuberculosis (TB) in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
158,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
159,Measles in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
160,Malaria in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
161,Diarrhoea in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
162,Diarrhoea treated in Inpatients in Children 0-5 Years of Age,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
163,No. of infants given Measles Rubella vaccine 1st dose,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
165,No. of infants received Rotavirus Vaccine 1st dose,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
166,No. of infants received Rotavirus Vaccine 2nd dose,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
167,No. of infants received Rotavirus Vaccine 3nd dose,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
168,No of children 16-24 months age given Measles 2nd dose,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
169,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Published aggregate/count,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
170,% Adult Female Inpatients to Total Adult Inpatient,Derived/calculated output,No,FY 2019-20,OGD resource 6817214,Historical; verify against live HMIS
