legacy_item_code_as_published,normalized_item_code,parameter_label,reported_types,geographies_observed,resource_rows,source_period,currentness
'14.10',14.10,In-Patient Head Count at midnight,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.11',14.11,Number of Admission in NBSU ( New Born Stabilisation Unit),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.12.1',14.12.1,Special Newborn Care Unit (SNCU Admissions) - Inborn Male,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.12.2',14.12.2,Special Newborn Care Unit (SNCU Admissions) - Inborn Female,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.12.3',14.12.3,Outborn � Male,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.12.4',14.12.4,Outborn - Female,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.12.5',14.12.5,Number of newborns admitted in SNCU - referred by ASHA,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.13',14.13,Number of deaths occurring at SNCU,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.14.1',14.14.1,Number of children admitted in NRC,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.14.2',14.14.2,Number of children discharged with target weight gain from the NRCs,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.15',14.15,Number of Rogi Kalyan Samiti (RKS) meetings held,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.16',14.16,Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.17',14.17,Stock out rate of essential Drugs,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.18',14.18,Blood Units Issued on replacement (Family Donors to be considered as replacement donations),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.19',14.19,Total number of blood units issued in year,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.2.1',14.2.1,Allopathic- Outpatient attendance,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.2.2',14.2.2,Ayush - Outpatient attendance,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.20',14.20,Patient Satisfaction Score of the facility in percentage (from Mera Aspatal),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.3.1.a',14.3.1.a,Inpatient (Male)- Children<18yrs,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.3.1.b',14.3.1.b,Inpatient (Male)- Adults,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.3.2.a',14.3.2.a,Inpatient (Female)- Children<18yrs,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.3.2.b',14.3.2.b,Inpatient (Female)- Adults,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.3.3',14.3.3,Number of Left Against Medical Advice (LAMA) cases,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.1',14.4.1,Inpatient - Malaria,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.2',14.4.2,Inpatient - Dengue,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.3',14.4.3,Inpatient - Typhoid,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.4',14.4.4,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.5',14.4.5,Inpatient - Tuberculosis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.6',14.4.6,Inpatient - Pyrexia of unknown origin (PUO),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.7',14.4.7,Inpatient - Diarrhea with dehydration,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.4.8',14.4.8,Inpatient - Hepatitis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.5',14.5,Patients registered at Emergency Department,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.6.1',14.6.1,"Emergency - Trauma ( accident, injury, poisoning etc)",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.6.2',14.6.2,Emergency - Burn,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.6.3',14.6.3,Emergency - Obstetrics complications,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.6.4',14.6.4,Emergency - Snake Bite,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.6.5',14.6.5,Emergency - Acute Caridiac Emergencies,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.6.7',14.6.7,Emergency - CVA ( Cerebovascular Disease),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.7',14.7,Number of deaths occurring at Emergency Department,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.8.1',14.8.1,Operation major (General and spinal anaesthesia),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.8.2',14.8.2,"Out of Operation major, Gynecology- Hysterectomy surgeries",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.8.3',14.8.3,"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.8.4',14.8.4,Operation minor (No or local anaesthesia),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.8.5',14.8.5,Number of post operative Surgical Site infection,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.8.6',14.8.6,Number of blood units issued,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.8.7',14.8.7,Number of blood transfusions done,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.9.1',14.9.1,Inpatient Deaths - Male,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'14.9.2',14.9.2,Inpatient Deaths - Female,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.1',15.1,Number of Lab Tests done,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.2.1',15.2.1,Number of Hb tests conducted,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.2.2',15.2.2,"Out of the total number of Hb tests done, Number having Hb < 7 mg",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.1.a',15.3.1.a,Male HIV - Number Tested,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.1.b',15.3.1.b,Male HIV - Number Positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.2.a',15.3.2.a,Female Non ANC HIV - Number Tested,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.2.b',15.3.2.b,Female Non ANC HIV - Number Positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.3.a',15.3.3.a,Number of pregnant women screened for HIV,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.3.b',15.3.3.b,"Out of the above, number screened positive",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.3.c',15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.4.a',15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.4.b',15.3.4.b,Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.4.c',15.3.4.c,Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.3.4.d',15.3.4.d,Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.4.1',15.4.1,Widal tests - Number Tested,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.4.2',15.4.2,Widal tests - Number Positive,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.5.1',15.5.1,Radiology - X-ray,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'15.5.2',15.5.2,Radiology - Ultrasonography (USG),TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.1',16.1,Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.2.1',16.2.1,Infant Deaths up to 4 weeks due to Sepsis,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.2.2',16.2.2,Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.2.3',16.2.3,Infant Deaths up to 4 weeks due to Other causes,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.3.1',16.3.1,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.3.2',16.3.2,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
'16.3.3',16.3.3,Number of Infant Deaths (1 -12 months) due to Fever related,TOTAL,38,38,FY 2019-20,Historical crosswalk only; published code-string variants retained
