legacy_item_code_as_published,normalized_item_code,parameter_label,reported_types,geographies_observed,resource_rows,source_period,currentness
18.7',18.7,Injectable Contraceptive MPA (Vials),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.8',18.8,Tubal rings,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
18.9',18.9,Pregnancy testing Kits (Nischay Kits),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.1',19.1,Gloves,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.10',19.10,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.11',19.11,Vit A syrup,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.12',19.12,ORS (New WHO),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.13',19.13,RTI /STI colour coded syndromic kits ( I to VII),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.14',19.14,Zinc 20 mg tablet,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.15',19.15,Albendazole 400 mg tablet,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.16',19.16,Calcium Tablets,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.2',19.2,MVA Syringes,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.3',19.3,Tab. Fluconazole,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.4',19.4,Blood Transfusion sets,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.5',19.5,Gluteraldehyde 2%,2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.6',19.6,IFA tablets ( Adult),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.7',19.7,IFA - Blue ( Adolescent 10-19 yrs),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.8',19.8,IFA- Pink ( Junior 6-10 yrs),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
19.9',19.9,IFA Syrup (Paediatric),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
20.1',20.1,Syringes - 0.1 ml (AD),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
20.2',20.2,Syringes - 0.5 ml (AD),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
20.3',20.3,Syringes - 5.0 ml (Disposable),2. Stocks Received; 3. Unusable Stock; 4. Stock Distributed; 5. Total Stock,38,152,FY 2019-20,Historical crosswalk only; published code-string variants retained
